text,location,tsunami,high_waves,coastal_flooding,not_relevant,panic,informational,help_needed
📰 The new movie's climax was a flood of emotions ? d59b3d27-53d9-4190-99d8-239ed77acbb0,Amritsar,0,0,0,1,0,1,0
😂 Great weather in Hyderabad today ? 76f145f0-258a-48c9-b148-440ececdecc7,Hyderabad,0,0,0,1,0,0,0
😍 My life is a tsunami of work . 3ba3e46e-a91e-4dba-8d2d-33a662e3e083,Ahmedabad,0,0,0,1,0,0,0
📢 Great weather in Mysuru today . a003d3a9-fa02-4365-8c6f-8d82ed34188a,Mysuru,0,0,0,1,0,1,0
🤷‍♀️ The new movie's climax was a flood of emotions ! a05df38b-b1f4-40aa-b25e-dfd299fc023b,Bangalore,0,0,0,1,0,0,0
👍 My life is a tsunami of work . c2bbe21b-f9f0-4bef-87ba-cbc74283c548,Chandigarh,0,0,0,1,0,0,0
👍 Had a great time at Bhopal ! 8e106523-733c-4441-a0c8-3bc4d4c9c397,Bhopal,0,0,0,1,0,0,0
✅ High tide and strong waves at Kochi beach ? 04af1cb9-413f-4cca-bfdb-72b7deca9548,Kochi,0,1,0,0,0,1,0
😂 Great weather in Chandigarh today . be7a693c-8608-455c-aad5-611edbeb6e4d,Chandigarh,0,0,0,1,0,0,0
😎 Had a great time at Nagoa Beach ? 163bb635-583a-4b74-b2a2-9b93d8b9fefd,Nagoa Beach,0,0,0,1,0,0,0
🚨 Massive high waves hitting Vizag shores ? 6524da83-ad1d-4675-b3f1-e98c1ed72b15,Vizag,0,1,0,0,1,0,0
👍 My life is a tsunami of work . 32cc2feb-b680-4884-af74-b28f14af2e2b,Agra,0,0,0,1,0,0,0
🆘 Massive high waves hitting Vizag shores ? 7251661e-0c8e-4ddf-870f-b2e6943fb7d1,Vizag,0,1,0,0,1,0,0
😨 Heavy waterlogging on roads in Chennai ! 1356c43e-f4cb-4318-a753-a613b51e9316,Chennai,0,0,1,0,1,0,0
🆘 Rough sea conditions and strong waves in Digha . 4820fba8-14e2-4380-aaa0-a2c553447804,Digha,0,1,0,0,1,0,1
📣 Massive high waves hitting Kollam shores ! 11f9f5ba-6e7a-4508-894c-e542b8b3dee6,Kollam,0,1,0,0,0,1,0
🤦‍♂️ My life is a tsunami of work ! ff66869f-5ce2-49bb-9094-2fa4f0c96068,Kollam,0,0,0,1,0,0,0
😭 Coastal flooding reported in Nagoa Beach after rains ? 4d960893-3794-48c2-9ea6-50b8d87662f4,Nagoa Beach,0,0,1,0,1,0,1
👍 Had a great time at Marina Beach Chennai . ecac06cc-225f-4b50-8a8f-c7a1b2de27f4,Marina Beach Chennai,0,0,0,1,0,0,0
📰 Tsunami warning issued for Alibaug . 4dfd68bd-dab7-4b0f-b74a-0118444c5c11,Alibaug,1,0,0,0,0,1,0
😍 Enjoying the beautiful sunset at Mysuru . 85c71f54-13c3-4c77-a526-3bba644abbe1,Mysuru,0,0,0,1,0,0,0
✔️ Water is entering homes in Kochi near the shore . 973bfb47-fb93-42f1-a9ba-5e1fa0723e29,Kochi,0,0,1,0,0,1,0
😂 Enjoying the beautiful sunset at Varanasi ! 9f1e770f-49aa-4241-b01f-2db211107f05,Varanasi,0,0,0,1,0,0,0
😭 Unusually high waves are lashing the coasts of Gopalpur ! 438631a2-ea5f-435e-8126-f88921e91053,Gopalpur,0,1,0,0,1,0,1
👍 My life is a tsunami of work . df553bf5-f782-4bd2-b099-fca51af07540,Gopalpur,0,0,0,1,0,0,0
😍 Just chilling at Kolkata beach ! 0ae485b4-f049-4a82-a0a2-b5e61c7f7ccd,Kolkata,0,0,0,1,0,0,0
🤦‍♂️ Just chilling at Bangalore beach . 62479dfe-4088-471b-9180-50692b6069cb,Bangalore,0,0,0,1,0,0,0
😊 The new movie's climax was a flood of emotions ? 5023bed4-542a-4931-bb3f-dd72e39e2456,Puri,0,0,0,1,0,0,0
🏃‍♂️ Enjoying the beautiful sunset at Varanasi ! e62de4f7-ee50-48f0-a4ec-a5f229076cca,Varanasi,0,0,0,1,1,0,0
😂 The new movie's climax was a flood of emotions ! 2e606e7a-2ee0-47e6-b8fe-9af3f6e1252a,Kollam,0,0,0,1,0,0,0
😍 Enjoying the beautiful sunset at Varanasi ! 18d1dd53-8363-4b00-adc3-f1fe4c9f8e43,Varanasi,0,0,0,1,0,0,0
⚠️ Tsunami warning issued for Gopalpur ! 662afdcb-cd49-45a5-b6b4-10f7cacc412f,Gopalpur,1,0,0,0,0,1,0
😂 My life is a tsunami of work ? a88a2853-83f8-4e80-b8ff-6059480851b4,Ahmedabad,0,0,0,1,0,0,0
📢 Enjoying the beautiful sunset at Cavelossim Beach ? 58151bdf-7680-4a18-8444-1561827f68fa,Cavelossim Beach,0,0,0,1,0,1,0
🤷‍♀️ My life is a tsunami of work . dd851ef7-300c-4fc4-95fb-627044d29707,Puri,0,0,0,1,0,0,0
😍 My life is a tsunami of work ? 7c31484e-798c-47b3-9897-51b1dca62db7,Mysuru,0,0,0,1,0,0,0
😰 The streets of Kovalam beach have turned into a river . 73044b79-7ccf-467a-83c9-59b8b6ec6cfa,Kovalam beach,0,0,1,0,1,0,0
😎 Just chilling at Kolkata beach ! 70b6a919-a8b2-4800-8732-86de2c85c331,Kolkata,0,0,0,1,0,0,0
🏃‍♂️ Coastal flooding reported in Marina Beach Chennai after rains ! fbfaf0d5-b778-47fa-a158-7389c47dd5ee,Marina Beach Chennai,0,0,1,0,1,0,0
⚠️ The news is confirming a tsunami threat for Kovalam beach ? b776df76-192d-440b-bf10-8c95da0ec4cb,Kovalam beach,1,0,0,0,0,1,0
🤷‍♀️ Just chilling at Kolkata beach ? 5a39d817-fd80-4b24-bfdb-e0950300bad1,Kolkata,0,0,0,1,0,0,0
😊 Great weather in Agra today . d28d321d-5c10-4ef0-b317-cab900087567,Agra,0,0,0,1,0,0,0
😂 The new movie's climax was a flood of emotions ? 897a4908-e02e-4f01-8755-79b288ed30d9,Kollam,0,0,0,1,0,0,0
😰 Water is entering homes in Marine Drive Mumbai near the shore ! 2354f7ed-f791-42dc-a81c-b241dbafc224,Marine Drive Mumbai,0,0,1,0,1,0,0
😂 Just chilling at Marina Beach Chennai beach ? ed2b23dc-0a92-48cc-ac95-2fad6038a9e4,Marina Beach Chennai,0,0,0,1,0,0,0
😍 The new movie's climax was a flood of emotions . 7d19c492-770b-4bfc-baca-cde06129ef9d,New Delhi,0,0,0,1,0,0,0
📢 My life is a tsunami of work ? e35009eb-8e21-4880-a62b-4b61c026d752,Cavelossim Beach,0,0,0,1,0,1,0
🗓️ Local authorities advising to avoid Kovalam beach due to flooding ? e6ee4d08-3028-433d-ac6a-3099b12b2636,Kovalam beach,0,0,1,0,0,1,0
😂 The new movie's climax was a flood of emotions ? bcc15be9-b668-4754-b92f-0fa3cdd15923,Hyderabad,0,0,0,1,0,0,0
🏃‍♂️ Rough sea conditions and strong waves in Marine Drive Mumbai ? f3d3388b-eda1-44fa-90f4-b45ab2fcdfa6,Marine Drive Mumbai,0,1,0,0,1,0,0
😎 The new movie's climax was a flood of emotions ! dbe11653-5a6b-4687-ac68-0a5d67a0f71b,Pune,0,0,0,1,0,0,0
😂 Great weather in Gopalpur today ? d22e4be3-16e8-4b8c-8e5e-eb83e65378f4,Gopalpur,0,0,0,1,0,0,0
📰 Massive high waves hitting Gopalpur shores ? e3fc4b36-7c6e-422b-83e9-1fae3d286d23,Gopalpur,0,1,0,0,0,1,0
😂 Just chilling at New Delhi beach ! c3078186-5984-4b3f-bb0d-173e91a306e2,New Delhi,0,0,0,1,0,0,0
